id,source,short_name,title,doc_type,url,published_date,local_path,sha256,downloaded_at,status
ecb:ecb_outsourcing_horizontal_analysis_202502_c54626829c,ecb,ecb_outsourcing_horizontal_analysis_202502_c54626829c,2024 Outsourcing Register - annual horizontal analysis,publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.outsourcing_horizontal_analysis_202502~c54626829c.en.pdf,2025-02-19,docs/guidance/ecb/ecb_outsourcing_horizontal_analysis_202502_c54626829c.pdf,a794a3e80660b3908c05b758b9e461686991d014803cc01421c918c6ad5e88d2,2026-04-24T22:26:19.550740+00:00,ok
ecb:ecb_icaap_ilaap_info_collection_note_4934b71538,ecb,ecb_icaap_ilaap_info_collection_note_4934b71538,ECB clarification on ICAAPs and ILAAPs and respective package submissions,publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.ICAAP_ILAAP_info_collection_note~4934b71538.en.pdf,2025-02-09,docs/guidance/ecb/ecb_icaap_ilaap_info_collection_note_4934b71538.pdf,7df965c0802023a46f51e7d2f84adeafaca8cf9de628d290b41538e79401f430,2026-04-24T22:26:21.013209+00:00,ok
ecb:ecb_list_of_banks_2025_47d2b8bd83,ecb,ecb_list_of_banks_2025_47d2b8bd83,List of banks not included in the EBA sample that take part in the parallel ECB stress test,publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.list_of_banks_2025~47d2b8bd83.en.pdf,2025-01-20,docs/guidance/ecb/ecb_list_of_banks_2025_47d2b8bd83.pdf,e4e484a5b96b0770bff75258fbd80584d22daa3381f761aae6036c1c8228c631,2026-04-24T22:26:22.535687+00:00,ok
ecb:ecb_sar2024,ecb,ecb_sar2024,Significance Assessment: 2024 at a glance - moving to 2025,publication,https://www.bankingsupervision.europa.eu/press/other-publications/publications/significance-assessment/pdf/ssm.sar2024.en.pdf,2024-12-20,docs/guidance/ecb/ecb_sar2024.pdf,b19f60bad7906417ad81e702c0e4c507cda941610cbb4abd6d625effef5fb5b1,2026-04-24T22:26:24.021707+00:00,ok
ecb:ecb_listofsupervisedentities202412,ecb,ecb_listofsupervisedentities202412,List of supervised entities – Cut-off date 1 November 2024,publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.listofsupervisedentities202412.en.pdf,2024-12-20,docs/guidance/ecb/ecb_listofsupervisedentities202412.pdf,ad28fcd7c45594e07febc7d56e3866755f30d0b61efaa7f05f06b36edf63334a,2026-04-24T22:26:25.559268+00:00,ok
ecb:ecb_govcstatement202412_cf6f6412af,ecb,ecb_govcstatement202412_cf6f6412af,Governing Council statement on macroprudential policies,publication,https://www.bankingsupervision.europa.eu/press/other-publications/publications/govcstatement/pdf/ssm.govcstatement202412~cf6f6412af.en.pdf,2024-12-20,docs/guidance/ecb/ecb_govcstatement202412_cf6f6412af.pdf,7f4d67347a9c99ed51d5232439b60fcf5a97be047210faa236a5f33736d520c9,2026-04-24T22:26:27.041801+00:00,ok
ecb:ecb_supervisorybankingstatistics_third_quarter_2024_202412_d50db,ecb,ecb_supervisorybankingstatistics_third_quarter_2024_202412_d50db,Supervisory Banking Statistics for significant institutions - Third quarter 2024,publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.supervisorybankingstatistics_third_quarter_2024_202412~d50dbd570b.en.pdf,2024-12-20,docs/guidance/ecb/ecb_supervisorybankingstatistics_third_quarter_2024_202412_d50db.pdf,bfc7785362dd053a47b8ac6b4a06b6dcc42a64ca781e2f28e42183c1a7a9ffe0,2026-04-24T22:26:28.840445+00:00,ok
ecb:ecb_srep202412_marketrisksrepmethodology,ecb,ecb_srep202412_marketrisksrepmethodology,Market risk SREP methodology,publication,https://www.bankingsupervision.europa.eu/activities/srep/2024/html/ssm.srep202412_marketrisksrepmethodology.en.html,2024-12-17,docs/guidance/ecb/ecb_srep202412_marketrisksrepmethodology.html,93b92768334431c2813efabbbaf2a7238228744ea025351a83cd46e4c4bc2194,2026-04-24T22:26:30.097831+00:00,ok
ecb:ecb_srep202412_internalgovernanceriskmanagementmethodology,ecb,ecb_srep202412_internalgovernanceriskmanagementmethodology,Internal governance and risk management SREP methodology,publication,https://www.bankingsupervision.europa.eu/activities/srep/2024/html/ssm.srep202412_internalgovernanceriskmanagementmethodology.en.html,2024-12-17,docs/guidance/ecb/ecb_srep202412_internalgovernanceriskmanagementmethodology.html,8b6f0ad33b88e5e69baeccd310de0802eafa187797b8b60451f11589c8d5908e,2026-04-24T22:26:31.596789+00:00,ok
ecb:ecb_srep202412_creditrisksrepmethodology,ecb,ecb_srep202412_creditrisksrepmethodology,Credit risk SREP methodology,publication,https://www.bankingsupervision.europa.eu/activities/srep/2024/html/ssm.srep202412_creditrisksrepmethodology.en.html,2024-12-17,docs/guidance/ecb/ecb_srep202412_creditrisksrepmethodology.html,500a57a9973a5f5895c4837c40308b8d5d44cfa86db2b4aba1b1dd2a8129394d,2026-04-24T22:26:33.110820+00:00,ok
